Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
339,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"gations against Dershowitz asserted in the action captioned Jane Doe #1, et al. v. United States of America, Case No. 08-cv-8073",Jeffrey Epstein
339,\b[jJ]ane\s+[dD]oe\b,Jane Doe,he Federal Action; 2 Cassell and Edwards investigation into Jane Doe No. 3s allegations against Dershowitz; 3 Cassell and Edward,Jeffrey Epstein
339,\b[jJ]ane\s+[dD]oe\b,Jane Doe,riminal conduct committed by Jeffrey Epstein Epstein; and 4 Jane Doe No. 3s whereabouts and activities during the time when she,Jeffrey Epstein
359,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"-- Im sorry, 13, theres 10 a second document that is styled Jane Doe #3 and Jane 11 Doe #4s Corrected Motion Pursuant to Rule 21",
387,\b[jJ]ane\s+[dD]oe\b,Jane Doe,itness with a 3 hour deposition to accomplish the same end. Jane Doe 2 - Case 1:15-cv-07433-LAP Document 1320-20 Filed 010324 Pa,Jeffrey Epstein; Johanna Sjoberg
388,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"r counsel, filed a pleading making certain claims regarding Jane Doe No. #3 the Plaintiff and her alleged Case 1:15-cv-07433-LAP",Jeffrey Epstein
389,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"enninger Decl., Ex. A, p. 4. The very first line describing Jane Doe #3 Circumstances is false, as Plaintiff now concedes. It re",Ghislaine Maxwell
389,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"nces is false, as Plaintiff now concedes. It read: In 1999, Jane Doe #3 was approached by Ghislaine Maxwell, and continuing that",Ghislaine Maxwell
389,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"by Ghislaine Maxwell, and continuing that Maxwell persuaded Jane Doe # 3 who was only fifteen years old to come to Epsteins mans",Ghislaine Maxwell
397,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ony of Emmy Taylor, , Jo Jo Fontanella, and Michael Reiter. Jane Doe 2 Jane Doe 2 -------------- -------- - Case 1:15-cv-07433-L",Prince Andrew
397,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Taylor, , Jo Jo Fontanella, and Michael Reiter. Jane Doe 2 Jane Doe 2 -------------- -------- - Case 1:15-cv-07433-LAP Document",Prince Andrew
415,\b[jJ]ane\s+[dD]oe\b,Jane Doe,g the session 25 A. At one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-,
415,\b[jJ]ane\s+[dD]oe\b,Jane Doe,on 25 A. At one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-07433-LAP D,
415,\b[jJ]ane\s+[dD]oe\b,Jane Doe,one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-07433-LAP Document 132,
426,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"the deposition testimony of Emmy Taylor, Jo Jo Fontanella, Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132",Prince Andrew
426,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"tion testimony of Emmy Taylor, Jo Jo Fontanella, Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-24 Filed",Prince Andrew
426,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ony of Emmy Taylor, Jo Jo Fontanella, Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-24 Filed 010324 Page",Prince Andrew
456,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"imony of Emmy Taylor, Jo Jo Fontanella, and Michael Reiter. Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-27 Filed 010324 Page",Jeffrey Epstein; Prince Andrew; Bill Clinton
525,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Jane Doe 2 Jane Doe 2 Agren Blando Court Reporting Video, Inc. 1 A M",Virginia Giuffre
525,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Jane Doe 2 Jane Doe 2 Agren Blando Court Reporting Video, Inc. 1 A My husband b",Virginia Giuffre
564,\b[jJ]ane\s+[dD]oe\b,Jane Doe,e plan that works in the meantime. Brad Sent from my iPhone Jane Doe 2 - Case 1:15-cv-07433-LAP Document 1320-31 Filed 010324 Pa,
566,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 AO 88A Rev. 0214 Subpoena to Testif,
566,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 AO 88A Rev. 0214 Subpoena to Testify at a Depo,
566,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 AO 88A Rev. 0214 Subpoena to Testify at a Deposition in a,
567,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Avenue, Suite 2 Fort Lauderdale, Florida 33301 954 524-2820 Jane Doe 2 --- Case 1:15-cv-07433-LAP Document 1320-32 Filed 010324",Ghislaine Maxwell; Virginia Giuffre
569,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 AO 88A Rev. 0214 Subpoena to Testify at a Deposition in a,Ghislaine Maxwell; Virginia Giuffre
572,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 EXHIBIT A DEFINITIONS Wherever they hereafter appear the,
591,\bredacted\b,redacted,cted version of the Police Incident Report that was used in redacted form as Exhibit 2 in that deposition. If you have any quest,Virginia Giuffre
625,\b[jJ]ane\s+[dD]oe\b,Jane Doe,6g81g74g3g76g81g3g73g85g82g81g87g3g82g73g3g92g82g88g3g87g82 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1320-35 Filed 010324 Page,
639,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ed documents between Ms. Giuffre and her counsel related to Jane Doe #1 and Jane Doe #2 v. United States, Case no. 0880736-CIV-M",Jeffrey Epstein; Alan Dershowitz
639,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ween Ms. Giuffre and her counsel related to Jane Doe #1 and Jane Doe #2 v. United States, Case no. 0880736-CIV-Marra, pending in",Jeffrey Epstein; Alan Dershowitz
