Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1,200,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2023; 2024,Virginia Giuffre,1,TXT Consolidado
2,35,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2024,,0,TXT Consolidado
3,145,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2023; 2024,,0,TXT Consolidado
4,182,1,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,Ghislaine Maxwell,1,TXT Consolidado
5,170,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,Jeffrey Epstein; Ghislaine Maxwell; Johanna Sjoberg,3,TXT Consolidado
6,18,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
7,100,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,1997; 2001; 2013; 2014,,0,TXT Consolidado
8,371,0,0,,3,4,-0.143,Negativo,0,0,2,2,Abuso / Menores,,Virginia Giuffre,1,TXT Consolidado
9,612,0,1,Fifth Amendment,0,0,0.0,Neutral,0,0,0,15,Ámbito Legal,2016,,0,TXT Consolidado
10,355,0,0,,0,3,-1.0,Altamente Negativo,0,2,6,6,Abuso / Menores,2016,Jeffrey Epstein; Ghislaine Maxwell; Johanna Sjoberg,3,TXT Consolidado
11,341,0,1,Fifth Amendment,0,1,-1.0,Altamente Negativo,0,0,0,6,Ámbito Legal,,Ghislaine Maxwell,1,TXT Consolidado
12,306,0,0,,0,0,0.0,Neutral,2,0,1,3,Ámbito Legal,2011,Prince Andrew; Johanna Sjoberg,2,TXT Consolidado
13,341,0,0,,0,1,-1.0,Altamente Negativo,2,0,0,0,Propiedades,,Ghislaine Maxwell; Prince Andrew; Johanna Sjoberg,3,TXT Consolidado
14,312,0,0,,0,2,-1.0,Altamente Negativo,1,0,4,0,Abuso / Menores,,,0,TXT Consolidado
15,335,0,0,,0,2,-1.0,Altamente Negativo,0,0,3,0,Abuso / Menores,,Prince Andrew,1,TXT Consolidado
16,496,0,0,,0,1,-1.0,Altamente Negativo,0,0,3,3,Abuso / Menores,2001; 2006; 2016,Jeffrey Epstein; Ghislaine Maxwell; Prince Andrew,3,TXT Consolidado
17,474,0,0,,0,1,-1.0,Altamente Negativo,0,1,2,0,Abuso / Menores,2005,David Copperfield,1,TXT Consolidado
18,413,0,0,,0,1,-1.0,Altamente Negativo,5,0,1,7,Ámbito Legal,2005; 2016,,0,TXT Consolidado
19,350,0,0,,0,2,-1.0,Altamente Negativo,1,1,3,7,Ámbito Legal,2016,Jeffrey Epstein,1,TXT Consolidado
20,236,0,0,,1,0,1.0,Positivo,1,0,0,4,Ámbito Legal,2016,,0,TXT Consolidado
21,336,0,0,,0,4,-1.0,Altamente Negativo,6,0,3,4,Propiedades,2016,Jeffrey Epstein,1,TXT Consolidado
22,204,0,0,,0,2,-1.0,Altamente Negativo,1,0,1,0,Propiedades,,Johanna Sjoberg,1,TXT Consolidado
23,272,0,0,,0,3,-1.0,Altamente Negativo,0,0,2,4,Ámbito Legal,2016,,0,TXT Consolidado
24,318,0,0,,0,2,-1.0,Altamente Negativo,0,0,2,7,Ámbito Legal,,Jeffrey Epstein,1,TXT Consolidado
25,322,0,0,,0,1,-1.0,Altamente Negativo,0,0,0,3,Ámbito Legal,2016,Jeffrey Epstein,1,TXT Consolidado
26,369,0,0,,0,1,-1.0,Altamente Negativo,0,0,0,9,Ámbito Legal,2001; 2013; 2014; 2016,,0,TXT Consolidado
27,364,0,2,Decline to answer; Fifth Amendment,1,1,0.0,Neutral / Procedimental,2,0,0,1,Propiedades,2016,,0,TXT Consolidado
28,326,0,2,Fifth Amendment,0,1,-1.0,Altamente Negativo,0,0,0,10,Ámbito Legal,1997,Jeffrey Epstein,1,TXT Consolidado
29,226,0,0,,0,0,0.0,Neutral,0,0,0,2,Ámbito Legal,2016,,0,TXT Consolidado
30,86,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
31,115,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
32,217,1,0,,1,0,1.0,Positivo,0,0,0,5,Ámbito Legal,2015; 2016,Ghislaine Maxwell,1,TXT Consolidado
33,169,0,0,,0,0,0.0,Neutral,1,0,0,8,Ámbito Legal,2005; 2016,Ghislaine Maxwell; Johanna Sjoberg,2,TXT Consolidado
34,156,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
35,112,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
36,17,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
37,109,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Johanna Sjoberg,2,TXT Consolidado
38,128,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
39,116,0,0,,1,0,1.0,Positivo,1,1,0,11,Ámbito Legal,,,0,TXT Consolidado
40,200,0,0,,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,2016,Ghislaine Maxwell; Virginia Giuffre; Johanna Sjoberg,3,TXT Consolidado
41,232,0,0,,2,0,1.0,Positivo,0,0,0,4,Ámbito Legal,,Johanna Sjoberg,1,TXT Consolidado
42,222,0,0,,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
43,199,0,0,,1,0,1.0,Positivo,0,0,0,4,Ámbito Legal,,,0,TXT Consolidado
44,225,0,0,,1,0,1.0,Positivo,2,0,0,0,Propiedades,2001,Ghislaine Maxwell,1,TXT Consolidado
45,225,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
46,211,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Jeffrey Epstein,1,TXT Consolidado
47,223,0,1,Objection,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
48,213,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
49,218,0,0,,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
50,199,0,1,Objection,1,0,1.0,Positivo,0,0,5,0,Abuso / Menores,,,0,TXT Consolidado
51,184,0,1,Objection,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,2001,,0,TXT Consolidado
52,195,0,1,Objection,1,0,1.0,Positivo,0,1,0,5,Ámbito Legal,,,0,TXT Consolidado
53,199,0,3,I don't recall; Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2001,Jeffrey Epstein,1,TXT Consolidado
54,225,0,1,Objection,1,1,0.0,Neutral / Procedimental,1,0,1,1,Propiedades,,Jeffrey Epstein,1,TXT Consolidado
55,183,0,1,Objection,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
56,243,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
57,237,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Prince Andrew,1,TXT Consolidado
58,208,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
59,195,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
60,226,0,0,,1,1,0.0,Neutral / Procedimental,1,0,3,0,Abuso / Menores,,,0,TXT Consolidado
61,209,0,0,,1,0,1.0,Positivo,3,0,2,0,Propiedades,,,0,TXT Consolidado
62,185,0,2,Objection,1,1,0.0,Neutral / Procedimental,1,1,0,0,Propiedades,,,0,TXT Consolidado
63,205,0,0,,1,0,1.0,Positivo,2,0,1,1,Propiedades,,Jeffrey Epstein,1,TXT Consolidado
64,217,0,0,,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
65,194,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,Ghislaine Maxwell,1,TXT Consolidado
66,167,0,4,Objection,1,0,1.0,Positivo,0,0,0,4,Ámbito Legal,2001; 2006,,0,TXT Consolidado
67,176,0,4,Objection,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
68,213,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
69,189,0,3,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
70,210,0,2,Objection,1,0,1.0,Positivo,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
71,195,0,1,Objection,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
72,182,0,2,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
73,240,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,David Copperfield,1,TXT Consolidado
74,186,0,1,Objection,2,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,David Copperfield,1,TXT Consolidado
75,216,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
76,185,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
77,203,0,1,Objection,2,0,1.0,Positivo,1,0,1,0,Propiedades,,Jeffrey Epstein; Bill Clinton,2,TXT Consolidado
78,203,0,0,,1,0,1.0,Positivo,2,0,3,0,Abuso / Menores,,,0,TXT Consolidado
79,177,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
80,174,0,1,Objection,1,0,1.0,Positivo,1,0,0,1,Propiedades,,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
81,223,0,1,Don't know,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
82,169,0,2,Objection,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
83,173,0,0,,1,0,1.0,Positivo,1,0,1,0,Propiedades,,Jeffrey Epstein,1,TXT Consolidado
84,231,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2005; 2006,,0,TXT Consolidado
85,231,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
86,188,0,0,,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
87,172,0,0,,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
88,212,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,Ghislaine Maxwell,1,TXT Consolidado
89,228,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
90,198,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
91,235,0,0,,2,0,1.0,Positivo,2,1,0,0,Propiedades,,,0,TXT Consolidado
92,205,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,Jeffrey Epstein,1,TXT Consolidado
93,219,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
94,218,0,0,,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
95,209,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
96,197,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
97,198,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
98,185,0,0,,1,1,0.0,Neutral / Procedimental,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
99,192,0,0,,1,0,1.0,Positivo,2,0,0,1,Propiedades,,,0,TXT Consolidado
100,195,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
101,215,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
102,245,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
103,192,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
104,217,0,1,I don't recall,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
105,224,0,1,Objection,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
106,180,0,1,Objection,1,0,1.0,Positivo,0,0,2,1,Abuso / Menores,,,0,TXT Consolidado
107,189,0,2,Objection,1,0,1.0,Positivo,0,0,8,1,Abuso / Menores,,,0,TXT Consolidado
108,194,0,0,,1,0,1.0,Positivo,0,0,5,0,Abuso / Menores,,,0,TXT Consolidado
109,173,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
110,205,0,1,Objection,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
111,205,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,Jeffrey Epstein,1,TXT Consolidado
112,187,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
113,214,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
114,222,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
115,213,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
116,197,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
117,209,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Prince Andrew,1,TXT Consolidado
118,205,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Prince Andrew,1,TXT Consolidado
119,196,0,1,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
120,196,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Ghislaine Maxwell,1,TXT Consolidado
121,222,0,0,,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
122,187,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,,0,TXT Consolidado
123,245,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,Prince Andrew,1,TXT Consolidado
124,192,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
125,175,0,0,,1,0,1.0,Positivo,1,0,0,0,Propiedades,2005,,0,TXT Consolidado
126,191,0,1,Objection,1,0,1.0,Positivo,4,0,0,1,Propiedades,2005,,0,TXT Consolidado
127,238,0,0,,1,0,1.0,Positivo,2,0,0,0,Propiedades,,,0,TXT Consolidado
128,221,0,0,,1,0,1.0,Positivo,2,0,0,0,Propiedades,,,0,TXT Consolidado
129,167,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
130,161,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Ghislaine Maxwell,1,TXT Consolidado
131,202,0,0,,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
132,192,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,3,1,Abuso / Menores,,,0,TXT Consolidado
133,195,0,1,Objection,1,0,1.0,Positivo,0,1,1,1,Logística / Aviones,2006,,0,TXT Consolidado
134,183,0,1,Objection,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
135,193,0,2,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
136,175,0,2,Objection,1,0,1.0,Positivo,0,0,2,2,Abuso / Menores,,,0,TXT Consolidado
137,173,0,2,Objection,1,0,1.0,Positivo,0,0,2,2,Abuso / Menores,,,0,TXT Consolidado
138,184,0,3,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
139,199,0,0,,1,0,1.0,Positivo,1,0,1,0,Propiedades,,,0,TXT Consolidado
140,194,0,0,,1,0,1.0,Positivo,2,0,3,0,Abuso / Menores,,,0,TXT Consolidado
141,192,0,1,Objection,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
142,207,0,1,I don't recall,1,0,1.0,Positivo,3,0,2,0,Propiedades,,,0,TXT Consolidado
143,181,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,Jeffrey Epstein,1,TXT Consolidado
144,200,0,0,,1,0,1.0,Positivo,0,1,0,0,Logística / Aviones,,Ghislaine Maxwell; Bill Clinton,2,TXT Consolidado
145,167,0,2,I don't recall; Objection,1,0,1.0,Positivo,0,1,0,1,Logística / Aviones,,Ghislaine Maxwell; Bill Clinton,2,TXT Consolidado
146,163,0,0,,1,0,1.0,Positivo,3,0,0,0,Propiedades,,Alan Dershowitz; Al Gore; Kevin Spacey,3,TXT Consolidado
147,214,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,Jeffrey Epstein,1,TXT Consolidado
148,164,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,2,2,Abuso / Menores,,Donald Trump; Alan Dershowitz,2,TXT Consolidado
149,183,0,1,Objection,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,Alan Dershowitz,1,TXT Consolidado
150,203,0,1,Objection,1,0,1.0,Positivo,0,0,7,1,Abuso / Menores,2003,,0,TXT Consolidado
151,168,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
152,167,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,1,1,Abuso / Menores,,Ghislaine Maxwell,1,TXT Consolidado
153,183,0,0,,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
154,198,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,Prince Andrew,1,TXT Consolidado
155,205,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2007,,0,TXT Consolidado
156,184,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,Prince Andrew; Al Gore,2,TXT Consolidado
157,195,0,1,Objection,1,0,1.0,Positivo,1,0,0,1,Propiedades,,,0,TXT Consolidado
158,222,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
159,208,0,1,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
160,221,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,Ghislaine Maxwell,1,TXT Consolidado
161,177,0,2,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
162,193,0,2,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2006,,0,TXT Consolidado
163,197,0,2,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,,,0,TXT Consolidado
164,200,0,1,Objection,2,0,1.0,Positivo,0,0,0,4,Ámbito Legal,,,0,TXT Consolidado
165,216,0,1,Objection,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
166,215,0,2,Objection; Don't know,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
167,166,0,0,,1,1,0.0,Neutral / Procedimental,0,0,1,0,Abuso / Menores,,,0,TXT Consolidado
168,167,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
169,191,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2002,Ghislaine Maxwell,1,TXT Consolidado
170,221,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
171,188,0,0,,2,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
172,199,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
173,206,0,0,,1,0,1.0,Positivo,0,0,3,0,Abuso / Menores,,Ghislaine Maxwell,1,TXT Consolidado
174,196,0,0,,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,,Ghislaine Maxwell,1,TXT Consolidado
175,202,0,0,,1,0,1.0,Positivo,2,0,5,0,Abuso / Menores,,David Copperfield,1,TXT Consolidado
176,220,0,0,,1,0,1.0,Positivo,0,0,9,0,Abuso / Menores,,,0,TXT Consolidado
177,202,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
178,196,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
179,214,0,3,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
180,186,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
181,219,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,2003; 2004; 2005; 2006,,0,TXT Consolidado
182,206,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
183,193,0,1,Objection,1,0,1.0,Positivo,0,0,0,2,Ámbito Legal,2005,,0,TXT Consolidado
184,173,0,1,Objection,1,0,1.0,Positivo,1,0,0,0,Propiedades,,,0,TXT Consolidado
185,232,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
186,210,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
187,151,0,1,Objection,1,0,1.0,Positivo,0,0,2,0,Abuso / Menores,,,0,TXT Consolidado
188,216,0,1,Objection,1,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,,0,TXT Consolidado
189,179,0,1,Objection,2,0,1.0,Positivo,0,0,1,1,Abuso / Menores,,Ghislaine Maxwell,1,TXT Consolidado
190,187,0,3,Objection,2,1,0.333,Positivo,0,0,0,3,Ámbito Legal,,Ghislaine Maxwell,1,TXT Consolidado
191,152,0,5,Objection,2,1,0.333,Positivo,0,0,0,5,Ámbito Legal,,Ghislaine Maxwell; Prince Andrew; Alan Dershowitz,3,TXT Consolidado
192,158,0,2,Objection,2,0,1.0,Positivo,0,0,0,5,Ámbito Legal,,Ghislaine Maxwell; Prince Andrew,2,TXT Consolidado
193,173,0,0,,2,0,1.0,Positivo,0,0,0,3,Ámbito Legal,2016,,0,TXT Consolidado
194,86,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
195,99,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Johanna Sjoberg,1,TXT Consolidado
196,173,0,0,,2,0,1.0,Positivo,0,0,0,6,Ámbito Legal,2016,Johanna Sjoberg,1,TXT Consolidado
197,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
198,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
199,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
200,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
201,18,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
202,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
203,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
204,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
205,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
206,18,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
207,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
208,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
209,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
210,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
211,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
212,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
213,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
214,22,0,0,,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
215,33,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
216,456,0,0,,1,0,1.0,Positivo,2,0,1,0,Propiedades,,Jeffrey Epstein,1,TXT Consolidado
217,514,0,0,,1,1,0.0,Neutral / Procedimental,2,0,3,0,Abuso / Menores,2005,Jeffrey Epstein,1,TXT Consolidado
218,530,0,0,,0,0,0.0,Neutral,1,0,8,0,Abuso / Menores,2005,Jeffrey Epstein,1,TXT Consolidado
219,545,0,0,,0,2,-1.0,Altamente Negativo,3,0,11,0,Abuso / Menores,2005,Jeffrey Epstein,1,TXT Consolidado
220,525,0,0,,1,0,1.0,Positivo,2,0,9,0,Abuso / Menores,2005,Jeffrey Epstein,1,TXT Consolidado
221,554,0,0,,0,0,0.0,Neutral,1,0,10,0,Abuso / Menores,2005,,0,TXT Consolidado
222,546,0,0,,0,0,0.0,Neutral,1,0,9,0,Abuso / Menores,2005,,0,TXT Consolidado
223,554,0,0,,1,0,1.0,Positivo,5,0,6,0,Abuso / Menores,2005,,0,TXT Consolidado
224,484,0,0,,0,1,-1.0,Altamente Negativo,2,0,0,0,Propiedades,2004; 2005,Jeffrey Epstein; Johanna Sjoberg,2,TXT Consolidado
225,580,0,0,,0,1,-1.0,Altamente Negativo,1,0,10,0,Abuso / Menores,2005,Jeffrey Epstein,1,TXT Consolidado
226,527,0,0,,0,0,0.0,Neutral,2,0,5,0,Abuso / Menores,2005,,0,TXT Consolidado
227,547,0,0,,0,1,-1.0,Altamente Negativo,1,0,1,0,Propiedades,2005,Jeffrey Epstein,1,TXT Consolidado
228,595,0,0,,0,0,0.0,Neutral,2,0,4,0,Abuso / Menores,1994; 2002; 2005,,0,TXT Consolidado
229,551,0,0,,3,0,1.0,Positivo,1,0,0,0,Propiedades,2005,,0,TXT Consolidado
230,516,0,0,,0,1,-1.0,Altamente Negativo,1,0,1,0,Propiedades,2003; 2005,Jeffrey Epstein,1,TXT Consolidado
231,602,0,0,,2,0,1.0,Positivo,2,0,7,0,Abuso / Menores,2005,,0,TXT Consolidado
232,553,0,0,,0,0,0.0,Neutral,1,0,3,0,Abuso / Menores,,,0,TXT Consolidado
233,459,0,0,,0,1,-1.0,Altamente Negativo,2,0,1,0,Propiedades,,,0,TXT Consolidado
234,561,0,0,,0,0,0.0,Neutral,2,0,0,0,Propiedades,2005,Jeffrey Epstein,1,TXT Consolidado
235,520,0,0,,0,1,-1.0,Altamente Negativo,1,0,1,0,Propiedades,2005,,0,TXT Consolidado
