Pagina,Palabras,Menciones_Censuradas_REDACTED,Evasiones_Detectadas,Tipos_Evasion,Indicador_Positivo,Indicador_Negativo,Indice_Sentimiento,Clasificacion_Sentimiento,Hits_Propiedades,Hits_Aviones_Logistica,Hits_Abuso_Menores,Hits_Ambito_Legal,Tema_Dominante,Años_Mencionados,Personas_Presentes,Personas_Count,Fuente
1766,363,0,0,,0,1,-1.0,Altamente Negativo,0,0,1,8,Ámbito Legal,2016,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1767,362,0,0,,0,2,-1.0,Altamente Negativo,0,0,4,3,Abuso / Menores,2016,Johanna Sjoberg,1,TXT Consolidado
1768,447,0,0,,0,1,-1.0,Altamente Negativo,0,0,3,8,Ámbito Legal,2016,Ghislaine Maxwell; Annie Farmer,2,TXT Consolidado
1769,384,0,0,,0,0,0.0,Neutral,0,0,0,3,Ámbito Legal,2003; 2015,Jeffrey Epstein; Ghislaine Maxwell,2,TXT Consolidado
1770,465,0,0,,1,1,0.0,Neutral / Procedimental,0,0,2,5,Ámbito Legal,2001; 2016,Ghislaine Maxwell,1,TXT Consolidado
1771,411,0,0,,0,1,-1.0,Altamente Negativo,0,0,3,4,Ámbito Legal,2016,Ghislaine Maxwell,1,TXT Consolidado
1772,226,0,0,,0,1,-1.0,Altamente Negativo,0,0,4,0,Abuso / Menores,2004; 2005,,0,TXT Consolidado
1773,212,0,0,,0,2,-1.0,Altamente Negativo,1,0,1,2,Ámbito Legal,2005,,0,TXT Consolidado
1774,335,0,0,,0,1,-1.0,Altamente Negativo,0,0,0,9,Ámbito Legal,2016,Ghislaine Maxwell,1,TXT Consolidado
1775,305,0,0,,0,3,-1.0,Altamente Negativo,0,0,4,1,Abuso / Menores,2016,Johanna Sjoberg,1,TXT Consolidado
1776,358,0,1,Objection,2,0,1.0,Positivo,0,0,1,4,Ámbito Legal,2004; 2010; 2013; 2014,,0,TXT Consolidado
1777,269,0,0,,1,0,1.0,Positivo,0,0,0,3,Ámbito Legal,1997; 2001; 2016,,0,TXT Consolidado
1778,136,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1779,115,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
1780,247,0,0,,1,0,1.0,Positivo,0,0,0,9,Ámbito Legal,2016,Ghislaine Maxwell; Johanna Sjoberg,2,TXT Consolidado
1781,123,0,0,,0,0,0.0,Neutral,0,0,0,6,Ámbito Legal,2016,Ghislaine Maxwell,1,TXT Consolidado
1782,155,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
1783,114,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,2016,,0,TXT Consolidado
1784,21,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1785,109,0,0,,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Johanna Sjoberg,2,TXT Consolidado
1786,167,0,4,Objection,1,0,1.0,Positivo,0,0,0,4,Ámbito Legal,2001; 2006,,0,TXT Consolidado
1787,213,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1788,213,0,2,Objection,1,0,1.0,Positivo,0,0,1,2,Ámbito Legal,,,0,TXT Consolidado
1789,195,0,1,Objection,2,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1790,198,0,1,Objection,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1791,217,0,2,Objection,1,1,0.0,Neutral / Procedimental,0,0,0,3,Ámbito Legal,,,0,TXT Consolidado
1792,168,0,0,,2,0,1.0,Positivo,0,0,0,3,Ámbito Legal,2016,,0,TXT Consolidado
1793,21,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1794,117,0,0,,1,0,1.0,Positivo,0,0,0,1,Ámbito Legal,2016,Ghislaine Maxwell; Virginia Giuffre,2,TXT Consolidado
1795,241,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1796,206,0,1,Objection,1,0,1.0,Positivo,0,0,1,0,Abuso / Menores,2001,,0,TXT Consolidado
1797,205,0,1,Objection,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,,0,TXT Consolidado
1798,199,0,2,Objection,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,Ghislaine Maxwell,1,TXT Consolidado
1799,233,0,1,Objection,1,0,1.0,Positivo,0,0,0,0,Sin tema dominante,,Jeffrey Epstein,1,TXT Consolidado
1800,111,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,2016; 2018,,0,TXT Consolidado
1801,20,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,,,0,TXT Consolidado
1802,106,0,0,,0,0,0.0,Neutral,0,0,0,0,Sin tema dominante,,Ghislaine Maxwell,1,TXT Consolidado
1803,187,0,0,,0,0,0.0,Neutral,0,0,0,2,Ámbito Legal,,Ghislaine Maxwell; Virginia Giuffre,2,TXT Consolidado
1804,198,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,2016,,0,TXT Consolidado
1805,203,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,2016,,0,TXT Consolidado
1806,195,0,0,,0,0,0.0,Neutral,0,0,0,1,Ámbito Legal,1998; 2016,,0,TXT Consolidado
